datasystem_worker.INFO.20260510171007_369.log.gz:2026-05-10T10:12:28.973921 | I | metrics.cpp:294 | 192.168.215.52 | 11:11 | 192.168.215.52-metrics | jingpai |  {"event":"metrics_summary","version":"v0","cycle":775,"interval_ms":5000,"part_index":2,"part_count":8,"metrics":[{"name":"worker_process_publish_latency","total":{"count":212917,"avg_us":364,"max_us":16253,"p50":352,"p90":491,"p99":981},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_process_get_latency","total":{"count":2083233,"avg_us":1264,"max_us":15949,"p50":1416,"p90":1937,"p99":2881},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_urma_write_latency","total":{"count":1508633,"avg_us":5,"max_us":2062,"p50":6,"p90":10,"p99":19},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_urma_wait_latency","total":{"count":1508633,"avg_us":519,"max_us":5942,"p50":458,"p90":947,"p99":1859},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_object_count","total":2466,"delta":0},{"name":"worker_allocated_memory_size","total":20678150289,"delta":0}]}
datasystem_worker.INFO.20260510171007_369.log.gz:2026-05-10T10:12:28.973931 | I | metrics.cpp:294 | 192.168.215.52 | 11:11 | 192.168.215.52-metrics | jingpai |  {"event":"metrics_summary","version":"v0","cycle":775,"interval_ms":5000,"part_index":6,"part_count":8,"metrics":[{"name":"worker_shm_ref_remove_total","total":2296123,"delta":0},{"name":"worker_shm_ref_table_bytes","total":-5184199296,"delta":0},{"name":"worker_object_erase_total","total":701705,"delta":0},{"name":"master_ttl_fire_total","total":210669,"delta":0},{"name":"master_ttl_delete_success_total","total":210669,"delta":0},{"name":"urma_import_jfr","total":{"count":6,"avg_us":2012,"max_us":2231,"p50":2231,"p90":2231,"p99":2231},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"urma_inflight_wr_count","total":{"count":1508633,"avg_us":3,"max_us":29,"p50":4,"p90":9,"p99":18},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"urma_nanosleep_latency","total":{"count":3514294,"avg_us":53,"max_us":2999,"p50":75,"p90":96,"p99":100},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}}]}
datasystem_worker.INFO.20260510171007_369.log.gz:2026-05-10T10:12:28.973933 | I | metrics.cpp:294 | 192.168.215.52 | 11:11 | 192.168.215.52-metrics | jingpai |  {"event":"metrics_summary","version":"v0","cycle":775,"interval_ms":5000,"part_index":7,"part_count":8,"metrics":[{"name":"worker_rpc_remote_get_inbound_latency","total":{"count":1508652,"avg_us":568,"max_us":6113,"p50":495,"p90":971,"p99":1888},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_get_threadpool_queue_latency","total":{"count":2083233,"avg_us":10,"max_us":1106,"p50":10,"p90":19,"p99":34},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_get_threadpool_exec_latency","total":{"count":2083233,"avg_us":1253,"max_us":15943,"p50":1408,"p90":1934,"p99":2875},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_get_meta_addr_hashring_latency","total":{"count":5716649,"avg_us":3,"max_us":1846,"p50":4,"p90":9,"p99":10},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}}]}
datasystem_worker.INFO.20260510171007_369.log.gz:2026-05-10T10:12:28.973928 | I | metrics.cpp:294 | 192.168.215.52 | 11:11 | 192.168.215.52-metrics | jingpai |  {"event":"metrics_summary","version":"v0","cycle":775,"interval_ms":5000,"part_index":5,"part_count":8,"metrics":[{"name":"zmq_server_rsp_queuing_latency","total":{"count":7922375,"avg_us":26,"max_us":5810,"p50":28,"p90":49,"p99":99},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"zmq_rpc_e2e_latency","total":{"count":5425591,"avg_us":490,"max_us":50109,"p50":425,"p90":966,"p99":1927},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"zmq_rpc_network_latency","total":{"count":5425591,"avg_us":220,"max_us":9868,"p50":184,"p90":441,"p99":862},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_allocator_alloc_bytes_total","total":14419162471370,"delta":0},{"name":"worker_allocator_free_bytes_total","total":14419162471370,"delta":0},{"name":"worker_shm_unit_created_total","total":1718895,"delta":0},{"name":"worker_shm_unit_destroyed_total","total":1718895,"delta":0},{"name":"worker_shm_ref_add_total","total":2296123,"delta":0}]}
datasystem_worker.INFO.20260510171007_369.log.gz:2026-05-10T10:12:28.973934 | I | metrics.cpp:294 | 192.168.215.52 | 11:11 | 192.168.215.52-metrics | jingpai |  {"event":"metrics_summary","version":"v0","cycle":775,"interval_ms":5000,"part_index":8,"part_count":8,"metrics":[{"name":"worker_get_post_query_meta_phase_latency","total":{"count":1512361,"avg_us":952,"max_us":14347,"p50":878,"p90":1736,"p99":2323},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"zmq_server_poll_handle_latency","total":{"count":23561201,"avg_us":7,"max_us":1288,"p50":8,"p90":19,"p99":46},"delta":{"count":560,"avg_us":9,"max_us":64,"p50":2,"p90":35,"p99":49}}]}
datasystem_worker.INFO.20260510171007_369.log.gz:2026-05-10T10:12:33.974427 | I | metrics.cpp:294 | 192.168.215.52 | 11:11 | 192.168.215.52-metrics | jingpai |  {"event":"metrics_summary","version":"v0","cycle":776,"interval_ms":5000,"part_index":1,"part_count":8,"metrics":[{"name":"worker_rpc_create_meta_latency","total":{"count":212917,"avg_us":326,"max_us":16211,"p50":348,"p90":485,"p99":967},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_rpc_query_meta_latency","total":{"count":1505986,"avg_us":342,"max_us":11093,"p50":352,"p90":491,"p99":972},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_rpc_remote_get_outbound_latency","total":{"count":10,"avg_us":5,"max_us":7,"p50":7,"p90":7,"p99":7},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_process_create_latency","total":{"count":212916,"avg_us":29,"max_us":2688,"p50":35,"p90":48,"p99":73},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}}]}
datasystem_worker.INFO.20260510171007_369.log.gz:2026-05-10T10:12:33.974437 | I | metrics.cpp:294 | 192.168.215.52 | 11:11 | 192.168.215.52-metrics | jingpai |  {"event":"metrics_summary","version":"v0","cycle":776,"interval_ms":5000,"part_index":2,"part_count":8,"metrics":[{"name":"worker_process_publish_latency","total":{"count":212917,"avg_us":364,"max_us":16253,"p50":352,"p90":491,"p99":981},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_process_get_latency","total":{"count":2083233,"avg_us":1264,"max_us":15949,"p50":1416,"p90":1937,"p99":2881},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_urma_write_latency","total":{"count":1508633,"avg_us":5,"max_us":2062,"p50":6,"p90":10,"p99":19},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_urma_wait_latency","total":{"count":1508633,"avg_us":519,"max_us":5942,"p50":458,"p90":947,"p99":1859},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_object_count","total":2466,"delta":0},{"name":"worker_allocated_memory_size","total":20678150289,"delta":0}]}
datasystem_worker.INFO.20260510171007_369.log.gz:2026-05-10T10:12:33.974446 | I | metrics.cpp:294 | 192.168.215.52 | 11:11 | 192.168.215.52-metrics | jingpai |  {"event":"metrics_summary","version":"v0","cycle":776,"interval_ms":5000,"part_index":4,"part_count":8,"metrics":[{"name":"zmq_client_req_queuing_latency","total":{"count":5425591,"avg_us":25,"max_us":3797,"p50":32,"p90":47,"p99":65},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"zmq_client_rsp_queuing_latency","total":{"count":5425591,"avg_us":17,"max_us":49826,"p50":13,"p90":19,"p99":319},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"zmq_server_req_queuing_latency","total":{"count":7922375,"avg_us":20,"max_us":5078,"p50":19,"p90":44,"p99":58},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"zmq_server_exec_latency","total":{"count":7922375,"avg_us":462,"max_us":16264,"p50":49,"p90":1598,"p99":2288},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}}]}
datasystem_worker.INFO.20260510171007_369.log.gz:2026-05-10T10:12:33.974447 | I | metrics.cpp:294 | 192.168.215.52 | 11:11 | 192.168.215.52-metrics | jingpai |  {"event":"metrics_summary","version":"v0","cycle":776,"interval_ms":5000,"part_index":5,"part_count":8,"metrics":[{"name":"zmq_server_rsp_queuing_latency","total":{"count":7922375,"avg_us":26,"max_us":5810,"p50":28,"p90":49,"p99":99},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"zmq_rpc_e2e_latency","total":{"count":5425591,"avg_us":490,"max_us":50109,"p50":425,"p90":966,"p99":1927},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"zmq_rpc_network_latency","total":{"count":5425591,"avg_us":220,"max_us":9868,"p50":184,"p90":441,"p99":862},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_allocator_alloc_bytes_total","total":14419162471370,"delta":0},{"name":"worker_allocator_free_bytes_total","total":14419162471370,"delta":0},{"name":"worker_shm_unit_created_total","total":1718895,"delta":0},{"name":"worker_shm_unit_destroyed_total","total":1718895,"delta":0},{"name":"worker_shm_ref_add_total","total":2296123,"delta":0}]}
datasystem_worker.INFO.20260510171007_369.log.gz:2026-05-10T10:12:33.974449 | I | metrics.cpp:294 | 192.168.215.52 | 11:11 | 192.168.215.52-metrics | jingpai |  {"event":"metrics_summary","version":"v0","cycle":776,"interval_ms":5000,"part_index":6,"part_count":8,"metrics":[{"name":"worker_shm_ref_remove_total","total":2296123,"delta":0},{"name":"worker_shm_ref_table_bytes","total":-5184199296,"delta":0},{"name":"worker_object_erase_total","total":701705,"delta":0},{"name":"master_ttl_fire_total","total":210669,"delta":0},{"name":"master_ttl_delete_success_total","total":210669,"delta":0},{"name":"urma_import_jfr","total":{"count":6,"avg_us":2012,"max_us":2231,"p50":2231,"p90":2231,"p99":2231},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"urma_inflight_wr_count","total":{"count":1508633,"avg_us":3,"max_us":29,"p50":4,"p90":9,"p99":18},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"urma_nanosleep_latency","total":{"count":3514294,"avg_us":53,"max_us":2999,"p50":75,"p90":96,"p99":100},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}}]}
datasystem_worker.INFO.20260510171007_369.log.gz:2026-05-10T10:12:33.974451 | I | metrics.cpp:294 | 192.168.215.52 | 11:11 | 192.168.215.52-metrics | jingpai |  {"event":"metrics_summary","version":"v0","cycle":776,"interval_ms":5000,"part_index":7,"part_count":8,"metrics":[{"name":"worker_rpc_remote_get_inbound_latency","total":{"count":1508652,"avg_us":568,"max_us":6113,"p50":495,"p90":971,"p99":1888},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_get_threadpool_queue_latency","total":{"count":2083233,"avg_us":10,"max_us":1106,"p50":10,"p90":19,"p99":34},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_get_threadpool_exec_latency","total":{"count":2083233,"avg_us":1253,"max_us":15943,"p50":1408,"p90":1934,"p99":2875},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_get_meta_addr_hashring_latency","total":{"count":5716649,"avg_us":3,"max_us":1846,"p50":4,"p90":9,"p99":10},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}}]}
datasystem_worker.INFO.20260510171007_369.log.gz:2026-05-10T10:12:33.974453 | I | metrics.cpp:294 | 192.168.215.52 | 11:11 | 192.168.215.52-metrics | jingpai |  {"event":"metrics_summary","version":"v0","cycle":776,"interval_ms":5000,"part_index":8,"part_count":8,"metrics":[{"name":"worker_get_post_query_meta_phase_latency","total":{"count":1512361,"avg_us":952,"max_us":14347,"p50":878,"p90":1736,"p99":2323},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"zmq_server_poll_handle_latency","total":{"count":23561759,"avg_us":7,"max_us":1288,"p50":8,"p90":19,"p99":46},"delta":{"count":558,"avg_us":8,"max_us":37,"p50":6,"p90":33,"p99":37}}]}
datasystem_worker.INFO.20260510171007_369.log.gz:2026-05-10T10:12:33.974443 | I | metrics.cpp:294 | 192.168.215.52 | 11:11 | 192.168.215.52-metrics | jingpai |  {"event":"metrics_summary","version":"v0","cycle":776,"interval_ms":5000,"part_index":3,"part_count":8,"metrics":[{"name":"zmq_send_io_latency","total":{"count":56627751,"avg_us":0,"max_us":1325,"p50":1,"p90":4,"p99":5},"delta":{"count":1399,"avg_us":1,"max_us":18,"p50":2,"p90":7,"p99":10}},{"name":"zmq_receive_io_latency","total":{"count":49717003,"avg_us":0,"max_us":461,"p50":1,"p90":1,"p99":1},"delta":{"count":1397,"avg_us":0,"max_us":1,"p50":1,"p90":1,"p99":1}},{"name":"zmq_rpc_serialize_latency","total":{"count":35312396,"avg_us":0,"max_us":726,"p50":1,"p90":2,"p99":2},"delta":{"count":839,"avg_us":0,"max_us":2,"p50":1,"p90":2,"p99":2}},{"name":"zmq_rpc_deserialize_latency","total":{"count":32575917,"avg_us":1,"max_us":2729,"p50":2,"p90":5,"p99":8},"delta":{"count":559,"avg_us":1,"max_us":5,"p50":3,"p90":5,"p99":5}},{"name":"zmq_server_task_delay","total":{"count":7922374,"avg_us":8,"max_us":3453,"p50":8,"p90":16,"p99":26},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}}]}
datasystem_worker.INFO.20260510171007_369.log.gz:2026-05-10T10:12:38.974926 | I | metrics.cpp:294 | 192.168.215.52 | 11:11 | 192.168.215.52-metrics | jingpai |  {"event":"metrics_summary","version":"v0","cycle":777,"interval_ms":5000,"part_index":1,"part_count":8,"metrics":[{"name":"worker_rpc_create_meta_latency","total":{"count":212917,"avg_us":326,"max_us":16211,"p50":348,"p90":485,"p99":967},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_rpc_query_meta_latency","total":{"count":1505986,"avg_us":342,"max_us":11093,"p50":352,"p90":491,"p99":972},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_rpc_remote_get_outbound_latency","total":{"count":10,"avg_us":5,"max_us":7,"p50":7,"p90":7,"p99":7},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_process_create_latency","total":{"count":212916,"avg_us":29,"max_us":2688,"p50":35,"p90":48,"p99":73},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}}]}
datasystem_worker.INFO.20260510171007_369.log.gz:2026-05-10T10:12:38.974937 | I | metrics.cpp:294 | 192.168.215.52 | 11:11 | 192.168.215.52-metrics | jingpai |  {"event":"metrics_summary","version":"v0","cycle":777,"interval_ms":5000,"part_index":3,"part_count":8,"metrics":[{"name":"zmq_send_io_latency","total":{"count":56629149,"avg_us":0,"max_us":1325,"p50":1,"p90":4,"p99":5},"delta":{"count":1398,"avg_us":1,"max_us":13,"p50":2,"p90":7,"p99":10}},{"name":"zmq_receive_io_latency","total":{"count":49718397,"avg_us":0,"max_us":461,"p50":1,"p90":1,"p99":1},"delta":{"count":1394,"avg_us":0,"max_us":2,"p50":1,"p90":1,"p99":1}},{"name":"zmq_rpc_serialize_latency","total":{"count":35313234,"avg_us":0,"max_us":726,"p50":1,"p90":2,"p99":2},"delta":{"count":838,"avg_us":0,"max_us":3,"p50":1,"p90":2,"p99":3}},{"name":"zmq_rpc_deserialize_latency","total":{"count":32576475,"avg_us":1,"max_us":2729,"p50":2,"p90":5,"p99":8},"delta":{"count":558,"avg_us":1,"max_us":6,"p50":3,"p90":5,"p99":6}},{"name":"zmq_server_task_delay","total":{"count":7922374,"avg_us":8,"max_us":3453,"p50":8,"p90":16,"p99":26},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}}]}
datasystem_worker.INFO.20260510171007_369.log.gz:2026-05-10T10:12:38.974932 | I | metrics.cpp:294 | 192.168.215.52 | 11:11 | 192.168.215.52-metrics | jingpai |  {"event":"metrics_summary","version":"v0","cycle":777,"interval_ms":5000,"part_index":2,"part_count":8,"metrics":[{"name":"worker_process_publish_latency","total":{"count":212917,"avg_us":364,"max_us":16253,"p50":352,"p90":491,"p99":981},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_process_get_latency","total":{"count":2083233,"avg_us":1264,"max_us":15949,"p50":1416,"p90":1937,"p99":2881},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_urma_write_latency","total":{"count":1508633,"avg_us":5,"max_us":2062,"p50":6,"p90":10,"p99":19},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_urma_wait_latency","total":{"count":1508633,"avg_us":519,"max_us":5942,"p50":458,"p90":947,"p99":1859},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_object_count","total":2466,"delta":0},{"name":"worker_allocated_memory_size","total":20678150289,"delta":0}]}
datasystem_worker.INFO.20260510171007_369.log.gz:2026-05-10T10:12:38.974941 | I | metrics.cpp:294 | 192.168.215.52 | 11:11 | 192.168.215.52-metrics | jingpai |  {"event":"metrics_summary","version":"v0","cycle":777,"interval_ms":5000,"part_index":5,"part_count":8,"metrics":[{"name":"zmq_server_rsp_queuing_latency","total":{"count":7922375,"avg_us":26,"max_us":5810,"p50":28,"p90":49,"p99":99},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"zmq_rpc_e2e_latency","total":{"count":5425591,"avg_us":490,"max_us":50109,"p50":425,"p90":966,"p99":1927},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"zmq_rpc_network_latency","total":{"count":5425591,"avg_us":220,"max_us":9868,"p50":184,"p90":441,"p99":862},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_allocator_alloc_bytes_total","total":14419162471370,"delta":0},{"name":"worker_allocator_free_bytes_total","total":14419162471370,"delta":0},{"name":"worker_shm_unit_created_total","total":1718895,"delta":0},{"name":"worker_shm_unit_destroyed_total","total":1718895,"delta":0},{"name":"worker_shm_ref_add_total","total":2296123,"delta":0}]}
datasystem_worker.INFO.20260510171007_369.log.gz:2026-05-10T10:12:38.974943 | I | metrics.cpp:294 | 192.168.215.52 | 11:11 | 192.168.215.52-metrics | jingpai |  {"event":"metrics_summary","version":"v0","cycle":777,"interval_ms":5000,"part_index":6,"part_count":8,"metrics":[{"name":"worker_shm_ref_remove_total","total":2296123,"delta":0},{"name":"worker_shm_ref_table_bytes","total":-5184199296,"delta":0},{"name":"worker_object_erase_total","total":701705,"delta":0},{"name":"master_ttl_fire_total","total":210669,"delta":0},{"name":"master_ttl_delete_success_total","total":210669,"delta":0},{"name":"urma_import_jfr","total":{"count":6,"avg_us":2012,"max_us":2231,"p50":2231,"p90":2231,"p99":2231},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"urma_inflight_wr_count","total":{"count":1508633,"avg_us":3,"max_us":29,"p50":4,"p90":9,"p99":18},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"urma_nanosleep_latency","total":{"count":3514294,"avg_us":53,"max_us":2999,"p50":75,"p90":96,"p99":100},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}}]}
datasystem_worker.INFO.20260510171007_369.log.gz:2026-05-10T10:12:38.974945 | I | metrics.cpp:294 | 192.168.215.52 | 11:11 | 192.168.215.52-metrics | jingpai |  {"event":"metrics_summary","version":"v0","cycle":777,"interval_ms":5000,"part_index":7,"part_count":8,"metrics":[{"name":"worker_rpc_remote_get_inbound_latency","total":{"count":1508652,"avg_us":568,"max_us":6113,"p50":495,"p90":971,"p99":1888},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_get_threadpool_queue_latency","total":{"count":2083233,"avg_us":10,"max_us":1106,"p50":10,"p90":19,"p99":34},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_get_threadpool_exec_latency","total":{"count":2083233,"avg_us":1253,"max_us":15943,"p50":1408,"p90":1934,"p99":2875},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}},{"name":"worker_get_meta_addr_hashring_latency","total":{"count":5716649,"avg_us":3,"max_us":1846,"p50":4,"p90":9,"p99":10},"delta":{"count":0,"avg_us":0,"max_us":0,"p50":0,"p90":0,"p99":0}}]}
